Sl. No.,State/ UT,Total Rural household (HH),HHs with tap connections on - 15-08-2019,Households provided with tap water connection provided during Financial Years - 2019-20,Households provided with tap water connection provided during Financial Years - 2020-21,Households provided with tap water connection provided during Financial Years - 2021-22,Households provided with tap water connection provided during Financial Years - 2022-23,Households provided with tap water connection provided during Financial Years - 2023-24,Households provided with tap water connection provided during Financial Years - 2024-25,Total HHs with tap water connection as on 06-02-2025
1,Andaman and Nicobar Islands,62037,28547,0,33490,0,0,0,0,62037
2,Andhra Pradesh,9553169,3074310,119090,1276628,959256,1188498,386490,41816,7046088
3,Arunachal Pradesh,228566,22796,13350,65087,41964,33797,51572,0,228566
4,Assam,7225389,111311,48826,507217,1652387,874641,2295421,386088,5875891
5,Bihar,16755041,316391,2897107,10345628,1985975,363023,126504,1089,16035717
6,Chhattisgarh,5003522,319741,95804,150926,445107,1080547,1804922,123737,4020784
7,Dadra and Nagar Haveli and Daman and Diu,85156,0,0,24592,60564,0,0,0,85156
8,Goa,263922,199094,31081,32827,0,0,0,920,263922
9,Gujarat,9118415,6516258,105529,1094588,898641,503399,0,0,9118415
10,Haryana,3041314,1766363,135217,791155,348579,0,0,0,3041314
11,Himachal Pradesh,1708727,762721,158932,378579,286547,92872,29076,0,1708727
12,Jammu and Kashmir,1923514,575466,207295,215579,57890,39861,347425,111830,1555346
13,Jharkhand,6255717,345165,95284,299731,418618,876785,1192958,190506,3419047
14,Karnataka,10132148,2451220,21446,343077,1870487,2056621,923031,760458,8426340
15,Kerala,7079554,1664091,85476,404464,663874,529487,366937,125723,3840052
16,Ladakh,40671,1414,550,1762,8907,18010,7057,1364,39064
17,Lakshadweep,13370,0,0,0,0,0,10836,1383,12219
18,Madhya Pradesh,11188550,1353151,419152,1986546,1089412,890863,1130228,657559,7526911
19,Maharashtra,14680627,4843832,544596,3708868,1065501,821630,1516996,451465,12952888
20,Manipur,451619,25920,4459,196153,69908,48767,7868,6384,359459
21,Meghalaya,650914,4550,1729,87355,133670,80305,190929,33642,532180
22,Mizoram,133060,9201,15878,33790,21493,30213,22485,0,133060
23,Nagaland,363781,13882,1944,47595,92132,87199,74907,19515,337174
24,Odisha,8869536,310866,436585,1547352,1747458,1222183,1206463,307256,6778163
25,Puducherry,114969,93506,6487,8287,6628,61,0,0,114969
26,Punjab,3426808,1678558,76164,818020,840379,4932,2,8753,3426808
27,Rajasthan,10777074,1174131,102169,680883,538030,1388472,1217862,863889,5965436
28,Sikkim,132827,70345,0,10278,7909,19409,9971,2703,120615
29,Tamil Nadu,12528183,2176071,16741,1613190,1489972,2652454,2305376,816859,11070663
30,Telangana,5398219,1568301,2018118,1800543,0,11257,0,0,5398219
31,Tripura,750844,24502,45756,142211,165207,80688,132355,47107,637826
32,Uttar Pradesh,26728935,516221,465861,1915850,580816,5988189,12051292,1892360,23410589
33,Uttarakhand,1450635,130325,86793,432301,274958,214873,225370,46019,1410639
34,West Bengal,17556704,214588,4720,1247860,2330522,2076714,2291726,1391161,9557291
Total,Total,193693517,32362838,8262139,32242412,20152791,23275750,29926059,8289586,154511575
